feature,importance
avg_risk_score,0.19486688959103296
max_risk_score,0.16121005409285205
at_risk_courses,0.12862729959304803
high_risk_courses_ratio,0.1197881801133636
min_progress,0.09652657164860719
avg_progress,0.08365618943635517
progress_std,0.04421296569516717
max_progress,0.0261315794646508
progress_rate,0.01655875261199779
active_courses,0.011794210606691372
course_load,0.007378603082950694
total_courses,0.006535872263738683
max_days_since_course_activity,0.006489417980707268
avg_days_since_course_activity,0.005733630664077315
total_activities,0.005561475290131387
completion_rate,0.005331458393696631
engagement_consistency,0.004909925525047413
recent_activity_trend,0.004861217097297614
recent_activities_7d,0.004781416371184427
recent_activities_30d,0.004737921233804501
avg_session_time,0.004725433635230977
max_activity_duration,0.004524896741484426
total_activity_time,0.004512518921419121
avg_activity_duration,0.004452539089787326
hours_per_day,0.004020953472703674
activity_rate_daily,0.0037579340909016544
streak_days,0.0037400272418179094
video_activities,0.0035896061942614736
total_hours,0.003375584193260927
days_since_last_login,0.0031351410404243515
weekly_goal_hours,0.0031288954332557763
forum_activities,0.0030309659374223386
assignment_activities,0.002832010296823932
quiz_activities,0.0025888865875075984
days_since_join,0.0022206466512362296
advanced_courses,0.0019226935112183958
beginner_courses,0.001650605642640043
completed_courses,0.001393784541896607
intermediate_courses,0.0012290947804573153
declining_engagement,0.0004741512398478325
low_progress_risk,0.0
inactivity_risk,0.0
